year,Fixed Cost,Net Energy + AS Revenue,Gen Cap Value,GHG Cost,GHG Value,Resource,Vintage
2054,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2055,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2056,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2038,67630,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2038
2039,67630,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2038
2040,67630,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2038
2041,67630,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2038
2042,67630,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2038
2043,67630,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2038
2044,67630,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2038
2045,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2046,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2047,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2048,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2049,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2050,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2051,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2052,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2053,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2054,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2055,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2056,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2057,67630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2038
2039,67270,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2039
2040,67270,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2039
2041,67270,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2039
2042,67270,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2039
2043,67270,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2039
2044,67270,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2039
2045,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2046,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2047,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2048,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2049,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2050,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2051,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2052,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2053,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2054,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2055,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2056,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2057,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2058,67270,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2039
2040,66420,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2040
2041,66420,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2040
2042,66420,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2040
2043,66420,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2040
2044,66420,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2040
2045,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2046,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2047,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2048,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2049,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2050,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2051,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2052,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2053,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2054,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2055,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2056,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2057,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2058,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2059,66420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2040
2041,65660,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2041
2042,65660,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2041
2043,65660,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2041
2044,65660,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2041
2045,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2046,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2047,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2048,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2049,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2050,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2051,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2052,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2053,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2054,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2055,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2056,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2057,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2058,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2059,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2060,65660,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2041
2042,65240,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2042
2043,65240,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2042
2044,65240,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2042
2045,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2046,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2047,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2048,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2049,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2050,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2051,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2052,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2053,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2054,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2055,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2056,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2057,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2058,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2059,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2060,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2061,65240,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2042
2043,64370,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2043
2044,64370,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2043
2045,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2046,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2047,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2048,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2049,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2050,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2051,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2052,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2053,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2054,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2055,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2056,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2057,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2058,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2059,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2060,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2061,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2062,64370,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2043
2044,63940,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2044
2045,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2046,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2047,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2048,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2049,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2050,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2051,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2052,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2053,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2054,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2055,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2056,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2057,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2058,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2059,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2060,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2061,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2062,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2063,63940,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2044
2045,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2046,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2047,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2048,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2049,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2050,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2051,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2052,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2053,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2054,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2055,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2056,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2057,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2058,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2059,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2060,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2061,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2062,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2063,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2064,63120,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2045
2046,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2047,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2048,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2049,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2050,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2051,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2052,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2053,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2054,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2055,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2056,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2057,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2058,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2059,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2060,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2061,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2062,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2063,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2064,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2065,62290,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2046
2047,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2048,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2049,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2050,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2051,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2052,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2053,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2054,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2055,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2056,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2057,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2058,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2059,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2060,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2061,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2062,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2063,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2064,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2065,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2066,61770,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2047
2048,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2049,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2050,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2051,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2052,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2053,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2054,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2055,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2056,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2057,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2058,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2059,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2060,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2061,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2062,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2063,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2064,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2065,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2066,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2067,60880,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2048
2049,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2050,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2051,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2052,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2053,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2054,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2055,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2056,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2057,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2058,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2059,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2060,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2061,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2062,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2063,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2064,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2065,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2066,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2067,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2068,60250,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2049
2050,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2051,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2052,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2053,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2054,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2055,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2056,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2057,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2058,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2059,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2060,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2061,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2062,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2063,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2064,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2065,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2066,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2067,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2068,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2069,59420,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2050
2022,63660,77479.76305,700.18371517988,0.0,16880.36511286,generic_solar,2022
2023,63660,67815.09519,435.59177674323,0.0,15622.42342284,generic_solar,2022
2024,63660,79332.72438,680.1299701154,0.0,18938.49227041,generic_solar,2022
2025,63660,76372.61431,474.03992883888,0.0,19196.78723872,generic_solar,2022
2026,63660,81027.93056,243.688976089,0.0,21373.93938168,generic_solar,2022
2027,63660,82552.1307,208.73681920113,0.0,22729.875994,generic_solar,2022
2028,63660,78500.49981,170.4193190271,0.0,22502.811395899997,generic_solar,2022
2029,63660,80288.34432,154.33910226588,0.0,24094.544050200002,generic_solar,2022
2030,63660,60239.20902,79.931529529524,0.0,19194.807335899997,generic_solar,2022
2031,63660,61174.98477,98.41485894512999,0.0,20450.93350693,generic_solar,2022
2032,63660,57290.74785,88.33099306284801,0.0,20054.811974480002,generic_solar,2022
2033,63660,51691.04995,78.481828180616,0.0,19017.51752302,generic_solar,2022
2034,63660,46642.75857,64.72060863955299,0.0,17938.1025813,generic_solar,2022
2035,63660,41943.81056,36.852624,0.0,22004.141834914473,generic_solar,2022
2036,63660,38660.2146,34.872192,0.0,24793.592879347412,generic_solar,2022
2037,63660,35786.67118,32.89176,0.0,27327.88332168446,generic_solar,2022
2038,63660,33236.93016,30.911328000000005,0.0,29685.328082293126,generic_solar,2022
2039,63660,30997.57027,28.930932,0.0,31577.499383784183,generic_solar,2022
2040,63660,29045.22632,25.090632,0.0,33184.514471436974,generic_solar,2022
2041,63660,26716.42008,21.715055999999997,0.0,35020.57105054323,generic_solar,2022
2042,63660,24651.73761,18.339516,0.0,36894.351468367655,generic_solar,2022
2043,63660,22836.18082,14.963832000000002,0.0,38364.11620186958,generic_solar,2022
2044,63660,21234.16948,11.588364,0.0,33154.242223215864,generic_solar,2022
2045,63660,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2022
2046,63660,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2022
2047,63660,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2022
2048,63660,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2022
2049,63660,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2022
2050,63660,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2022
2051,63660,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2022
2023,62260,67815.09519,435.59177674323,0.0,15622.42342284,generic_solar,2023
2024,62260,79332.72438,680.1299701154,0.0,18938.49227041,generic_solar,2023
2025,62260,76372.61431,474.03992883888,0.0,19196.78723872,generic_solar,2023
2026,62260,81027.93056,243.688976089,0.0,21373.93938168,generic_solar,2023
2027,62260,82552.1307,208.73681920113,0.0,22729.875994,generic_solar,2023
2028,62260,78500.49981,170.4193190271,0.0,22502.811395899997,generic_solar,2023
2029,62260,80288.34432,154.33910226588,0.0,24094.544050200002,generic_solar,2023
2030,62260,60239.20902,79.931529529524,0.0,19194.807335899997,generic_solar,2023
2031,62260,61174.98477,98.41485894512999,0.0,20450.93350693,generic_solar,2023
2032,62260,57290.74785,88.33099306284801,0.0,20054.811974480002,generic_solar,2023
2033,62260,51691.04995,78.481828180616,0.0,19017.51752302,generic_solar,2023
2034,62260,46642.75857,64.72060863955299,0.0,17938.1025813,generic_solar,2023
2035,62260,41943.81056,36.852624,0.0,22004.141834914473,generic_solar,2023
2036,62260,38660.2146,34.872192,0.0,24793.592879347412,generic_solar,2023
2037,62260,35786.67118,32.89176,0.0,27327.88332168446,generic_solar,2023
2038,62260,33236.93016,30.911328000000005,0.0,29685.328082293126,generic_solar,2023
2039,62260,30997.57027,28.930932,0.0,31577.499383784183,generic_solar,2023
2040,62260,29045.22632,25.090632,0.0,33184.514471436974,generic_solar,2023
2041,62260,26716.42008,21.715055999999997,0.0,35020.57105054323,generic_solar,2023
2042,62260,24651.73761,18.339516,0.0,36894.351468367655,generic_solar,2023
2043,62260,22836.18082,14.963832000000002,0.0,38364.11620186958,generic_solar,2023
2044,62260,21234.16948,11.588364,0.0,33154.242223215864,generic_solar,2023
2045,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2046,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2047,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2048,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2049,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2050,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2051,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2052,62260,19893.68835,8.358228,0.0,34497.95395598189,generic_solar,2023
2024,57890,79332.72438,680.1299701154,0.0,18938.49227041,generic_solar,2024
2025,57890,76372.61431,474.03992883888,0.0,19196.78723872,generic_solar,2024
2026,57890,81027.93056,243.688976089,0.0,21373.93938168,generic_solar,2024
2027,57890,82552.1307,208.73681920113,0.0,22729.875994,generic_solar,2024
2028,57890,78500.49981,170.4193190271,0.0,22502.811395899997,generic_solar,2024
2029,57890,80288.34432,154.33910226588,0.0,24094.544050200002,generic_solar,2024
2030,57890,60239.20902,79.931529529524,0.0,19194.807335899997,generic_solar,2024
