year,Fixed Cost,Net Energy + AS Revenue,Gen Cap Value,GHG Cost,GHG Value,Resource,Vintage
2027,93580,18028.26916,57199.20412088703,0.0,10402.5288168,generic_battery_4hr,2025
2028,93580,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2025
2029,93580,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2025
2030,93580,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2025
2031,93580,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2025
2032,93580,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2025
2033,93580,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2025
2034,93580,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2025
2035,93580,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2025
2036,93580,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2025
2037,93580,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2025
2038,93580,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2025
2039,93580,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2025
2040,93580,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2025
2041,93580,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2025
2042,93580,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2025
2043,93580,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2025
2044,93580,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2025
2026,89610,18357.88623,66390.7239312431,0.0,9867.81422217,generic_battery_4hr,2026
2027,89610,18028.26916,57199.20412088703,0.0,10402.5288168,generic_battery_4hr,2026
2028,89610,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2026
2029,89610,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2026
2030,89610,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2026
2031,89610,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2026
2032,89610,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2026
2033,89610,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2026
2034,89610,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2026
2035,89610,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2026
2036,89610,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2026
2037,89610,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2026
2038,89610,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2026
2039,89610,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2026
2040,89610,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2026
2041,89610,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2026
2042,89610,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2026
2043,89610,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2026
2044,89610,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2026
2045,89610,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2026
2027,85630,18028.26916,57199.20412088703,0.0,10402.5288168,generic_battery_4hr,2027
2028,85630,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2027
2029,85630,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2027
2030,85630,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2027
2031,85630,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2027
2032,85630,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2027
2033,85630,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2027
2034,85630,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2027
2035,85630,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2027
2036,85630,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2027
2037,85630,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2027
2038,85630,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2027
2039,85630,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2027
2040,85630,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2027
2041,85630,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2027
2042,85630,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2027
2043,85630,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2027
2044,85630,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2027
2045,85630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2027
2046,85630,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2027
2028,81600,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2028
2029,81600,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2028
2030,81600,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2028
2031,81600,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2028
2032,81600,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2028
2033,81600,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2028
2034,81600,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2028
2035,81600,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2028
2036,81600,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2028
2037,81600,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2028
2038,81600,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2028
2039,81600,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2028
2040,81600,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2028
2041,81600,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2028
2042,81600,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2028
2043,81600,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2028
2044,81600,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2028
2045,81600,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2028
2046,81600,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2028
2047,81600,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2028
2029,77550,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2029
2030,77550,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2029
2031,77550,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2029
2032,77550,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2029
2033,77550,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2029
2034,77550,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2029
2035,77550,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2029
2036,77550,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2029
2037,77550,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2029
2038,77550,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2029
2039,77550,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2029
2040,77550,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2029
2041,77550,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2029
2042,77550,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2029
2043,77550,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2029
2044,77550,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2029
2045,77550,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2029
2046,77550,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2029
2047,77550,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2029
2048,77550,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2029
2030,73820,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2030
2031,73820,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2030
2032,73820,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2030
2033,73820,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2030
2034,73820,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2030
